feature_name,method,category,library_path,description
actin_edge_intensity_ratio,code,distribution,code/actin_edge_intensity_ratio/extract.py,Calculates the ratio of mean Actin intensity at the cell boundary (cortex) to the mean intensity in the cell center. This helps distinguish cortical actin rings from stress fibers or diffuse actin.
nucleus_cytoplasm_area_ratio,code,morphology,code/nucleus_cytoplasm_area_ratio/extract.py,"Calculates the ratio of nuclear area (DAPI) to cytoplasmic area (Actin/Tubulin). The N:C ratio is a classic cytological metric that changes during differentiation, cancer progression, and drug response."
cell_neighbor_count_mean,code,spatial,code/cell_neighbor_count_mean/extract.py,"Calculates the average number of immediate neighbors for each cell, based on a Delaunay triangulation or distance threshold of cell centroids. This measures local cell density and clustering."
nucleus_count,code,distribution,code/nucleus_count/extract.py,Counts the total number of distinct nuclei identified in the DAPI channel. This serves as a primary proxy for cell proliferation or cytotoxicity (cell loss) in response to drug treatments.
tubulin_fiber_gradient_magnitude_mean,code,texture,code/tubulin_fiber_gradient_magnitude_mean/extract.py,"Computes the mean gradient magnitude of the Tubulin (green) channel within cell boundaries. High values indicate sharp, distinct microtubule fibers (bundling), while low values suggest diffuse or depolymerized tubulin."
actin_boundary_roughness_mean,code,morphology,code/actin_boundary_roughness_mean/extract.py,Measures the roughness of the cell boundary (perimeter squared / (4 * pi * area)) derived from the Actin channel. High roughness can indicate membrane blebbing or invasive protrusions (invadopodia).
tubulin_intensity_mean,code,intensity,code/tubulin_intensity_mean/extract.py,"Calculates the average intensity of the Tubulin channel within the cell cytoplasm. This quantifies the overall abundance of microtubules, which changes under stabilizing (Taxol) or destabilizing (Vinca) drug treatments."
actin_intensity_cv,code,intensity,code/actin_intensity_cv/extract.py,"Measures the Coefficient of Variation (std/mean) of Actin intensity within cells. This quantifies the heterogeneity of the actin cytoskeleton, helping to distinguish between uniform cortical actin and heterogeneous stress fibers or aggregat"
dapi_tubulin_correlation,code,spatial,code/dapi_tubulin_correlation/extract.py,"Computes the Pearson correlation coefficient between pixel intensities of the DAPI (nucleus) and Tubulin (microtubule) channels. This measures the spatial overlap or exclusion of these structures, which changes during mitosis (spindle forma"
cell_count,code,distribution,code/cell_count/extract.py,Counts the total number of nuclei detected in the DAPI channel. A reduction in cell count is a direct proxy for cytotoxicity or cytostasis.
nuclear_eccentricity_std,code,distribution,code/nuclear_eccentricity_std/extract.py,Computes the standard deviation of nuclear eccentricity across the image. A high standard deviation suggests a heterogeneous population containing both round (interphase) and elongated (mitotic or deformed) nuclei.
dapi_intensity_kurtosis,code,intensity,code/dapi_intensity_kurtosis/extract.py,"Measures the kurtosis of the DAPI intensity distribution within nuclei. High kurtosis indicates a 'peaky' distribution, potentially reflecting heterochromatin aggregation or specific nuclear staining patterns."
cell_skeleton_branch_points,code,morphology,code/cell_skeleton_branch_points/extract.py,Skeletons the Actin channel mask and counts the number of branch points. This serves as a proxy for the complexity of the actin cytoskeletal network.
tubulin_radial_distribution,code,spatial,code/tubulin_radial_distribution/extract.py,Measures the radial intensity profile of Tubulin relative to the centroid of the nearest nucleus. This quantifies whether microtubules are concentrated perinuclearly or extended to the cell periphery.
actin_tubulin_intensity_ratio,code,intensity,code/actin_tubulin_intensity_ratio/extract.py,"Computes the ratio of total Actin intensity to total Tubulin intensity. This global metric captures the balance between the two major cytoskeletal components, which can be shifted by specific drugs."
tubulin_texture_entropy,code,texture,code/tubulin_texture_entropy/extract.py,"Computes the entropy of the pixel intensity distribution in the Tubulin (green) channel. High entropy suggests a complex, disordered microtubule network, while low entropy may indicate depolymerization or bundling."
actin_tubulin_correlation,code,spatial,code/actin_tubulin_correlation/extract.py,"Calculates the Pearson correlation coefficient between pixel intensities of the Actin and Tubulin channels. This measures the spatial overlap of the two cytoskeletal networks, which may dissociate under drug treatment."
nuclear_actin_ratio,code,intensity,code/nuclear_actin_ratio/extract.py,"Calculates the ratio of total Actin intensity to total DAPI intensity per cell. This feature can indicate changes in cell spreading (high actin) relative to nuclear size, relevant for detecting cell flattening (senescence) or shrinkage (apo"
cell_area_mean,code,morphology,code/cell_area_mean/extract.py,"Calculates the mean area of the entire cell (cytoplasm + nucleus) using Actin and Tubulin channels to define boundaries. Significant increases can indicate senescence (flattened, enlarged cells), while decreases may indicate stress or round"
dapi_contrast_haralick,code,texture,code/dapi_contrast_haralick/extract.py,"Measures the Haralick contrast of the DAPI channel. High contrast indicates large local intensity variations, which correlates with the formation of heterochromatin foci or nuclear fragmentation induced by DNA-damaging agents."
tubulin_intensity_kurtosis,code,intensity,code/tubulin_intensity_kurtosis/extract.py,"Computes the kurtosis of the pixel intensity distribution in the Tubulin channel across the entire image. High kurtosis can indicate the presence of bright, distinct microtubule bundles against a dark background, as opposed to a diffuse sig"
dapi_tubulin_overlap_fraction,code,spatial,code/dapi_tubulin_overlap_fraction/extract.py,"Measures the fraction of the nuclear area that overlaps with significant Tubulin signal. In healthy interphase cells, microtubules are excluded from the nucleus; overlap may indicate nuclear envelope breakdown (prometaphase) or segmentation"
nuclear_roundness_mean,code,morphology,code/nuclear_roundness_mean/extract.py,Measures the mean roundness of nuclei. Deviations from circularity can indicate apoptosis (fragmentation/blebbing) or mitotic catastrophe.
dapi_intensity_entropy,code,texture,code/dapi_intensity_entropy/extract.py,"Computes the entropy of pixel intensities within the nucleus. This serves as a proxy for chromatin condensation and texture, which changes during DNA damage responses or apoptosis."
tubulin_fiber_texture_contrast,code,texture,code/tubulin_fiber_texture_contrast/extract.py,"Measures the Haralick contrast in the Tubulin channel. High contrast often correlates with microtubule bundling (thick, rigid fibers) induced by Taxanes, as opposed to a fine meshwork."
cell_eccentricity_mean,code,morphology,code/cell_eccentricity_mean/extract.py,"Measures the average eccentricity of the whole cell shape (defined by Actin/Tubulin). Elongated cells (high eccentricity) may indicate a migratory phenotype or stress fibers, while round cells (low eccentricity) may indicate mitotic arrest "
micronuclei_count_per_cell,code,morphology,code/micronuclei_count_per_cell/extract.py,"Counts small, detached DAPI-positive objects near the main nucleus. Micronuclei are a specific indicator of genomic instability and mitotic slippage (e.g., Vinca alkaloids)."
tubulin_radial_distribution_ratio,code,distribution,code/tubulin_radial_distribution_ratio/extract.py,Calculates the ratio of Tubulin intensity in the perinuclear region versus the cell periphery. This helps quantify phenotypes like monoastral spindles where microtubules radiate from a central point.
nuclear_cytoplasmic_ratio,code,spatial,code/nuclear_cytoplasmic_ratio/extract.py,Computes the ratio of the total nuclear area (DAPI) to the total cytoplasmic area (Actin - DAPI). This is a fundamental cellular metric often altered in cancer progression and drug response.
dapi_solidity_mean,code,morphology,code/dapi_solidity_mean/extract.py,"Computes the mean solidity (area / convex hull area) of segmented nuclei. Low solidity indicates irregular, concave, or lobulated nuclear shapes, often associated with nuclear envelope stress or polymorphism."
tubulin_intensity_variance,code,intensity,code/tubulin_intensity_variance/extract.py,"Calculates the variance of pixel intensities in the Tubulin channel. High variance suggests distinct structures (bundles/fibers), while low variance suggests diffuse depolymerization."
actin_fiber_orientation_coherence,code,texture,code/actin_fiber_orientation_coherence/extract.py,"Measures the global coherence of actin fiber orientation using structure tensor analysis. High coherence suggests aligned stress fibers, while low coherence indicates a disorganized cytoskeleton."
dapi_granulometry_mean,code,texture,code/dapi_granulometry_mean/extract.py,Performs a granulometric analysis (opening operations with increasing structuring element sizes) on the DAPI channel to estimate the average size of bright chromatin speckles. This quantifies chromatin condensation patterns.
micronuclei_count_approx,code,morphology,code/micronuclei_count_approx/extract.py,"Counts the number of small, distinct DAPI-positive objects that are detached from the main nuclei. An increase in micronuclei is a hallmark of genomic instability and mitotic slippage."
actin_cortical_intensity_ratio,code,spatial,code/actin_cortical_intensity_ratio/extract.py,"Calculates the ratio of Actin intensity at the cell boundary (cortex) versus the inner cytoplasm. High ratios indicate cortical actin ring formation (rounding), while low ratios suggest stress fibers throughout the cell."
dapi_haralick_contrast_mean,code,texture,code/dapi_haralick_contrast_mean/extract.py,"Computes the mean Haralick contrast of the DAPI intensity within segmented nuclei. High contrast corresponds to heterogeneous chromatin texture, potentially indicating condensation or DNA damage foci."
tubulin_intensity_mass_mean,code,intensity,code/tubulin_intensity_mass_mean/extract.py,"Calculates the mean total integrated intensity of the Tubulin channel per cell. This proxies the total abundance of polymerized microtubules, which can be affected by stabilizing (Taxanes) or destabilizing (Vinca alkaloids) drugs."
tubulin_skeleton_length_mean,code,morphology,code/tubulin_skeleton_length_mean/extract.py,"Applies skeletonization to the Tubulin channel within each cell and calculates the mean total skeleton length. This proxies the extent of microtubule polymerization and network complexity, distinguishing between diffuse signal and distinct "
actin_compactness_mean,code,morphology,code/actin_compactness_mean/extract.py,"Calculates the mean compactness (perimeter squared divided by area) of cells in the Actin channel. High values indicate complex, irregular cell boundaries (e.g., blebbing or protrusions), while low values indicate smooth, round cells."
nucleus_to_cell_area_ratio_mean,code,morphology,code/nucleus_to_cell_area_ratio_mean/extract.py,"Computes the mean ratio of nuclear area to total cell area (N/C ratio). This is a classic cytological feature used to assess cell maturity, malignancy, and response to stress."
tubulin_actin_correlation_mean,code,spatial,code/tubulin_actin_correlation_mean/extract.py,Calculates the Pearson correlation coefficient between Tubulin and Actin pixel intensities within each cell. Changes in cytoskeleton organization often alter the spatial overlap of these two systems.
cell_neighbor_distance_mean,code,spatial,code/cell_neighbor_distance_mean/extract.py,"Calculates the average distance to the k-nearest neighbors for each cell. This spatial feature captures local cell density and clustering, which can be affected by cell death (clearing) or proliferation (crowding)."
tubulin_radial_intensity_gradient_mean,code,spatial,code/tubulin_radial_intensity_gradient_mean/extract.py,"Measures the gradient of tubulin intensity from the nucleus center towards the cell periphery. This captures the distribution of microtubules (e.g., perinuclear clustering vs. uniform distribution)."
actin_edge_intensity_ratio_mean,code,spatial,code/actin_edge_intensity_ratio_mean/extract.py,Calculates the ratio of Actin intensity at the cell boundary (cortex) versus the cell interior. This distinguishes cells with strong cortical actin rings from those with diffuse or stress-fiber-rich actin.
dapi_peak_intensity_count_mean,code,texture,code/dapi_peak_intensity_count_mean/extract.py,Counts the number of local intensity maxima (peaks) within each nucleus that exceed a threshold. This serves as a proxy for counting bright heterochromatin spots or DNA damage foci.
tubulin_haralick_contrast_global,code,texture,code/tubulin_haralick_contrast_global/extract.py,"Computes the Haralick Contrast texture feature for the Tubulin channel. This quantifies the local intensity variations, helping to distinguish between diffuse tubulin staining and distinct, high-contrast microtubule fibers or bundles."
tubulin_intensity_kurtosis_global,code,intensity,code/tubulin_intensity_kurtosis_global/extract.py,"Computes the kurtosis of the pixel intensity distribution for the Tubulin channel. High kurtosis indicates a distribution with heavy tails, often associated with the presence of very bright microtubule bundles against a darker background."
dapi_tubulin_overlap_fraction_mean,code,spatial,code/dapi_tubulin_overlap_fraction_mean/extract.py,Measures the fraction of the Tubulin signal that spatially overlaps with the nuclear mask. High overlap may indicate mitotic spindles (which form around chromosomes) or cytoskeletal collapse onto the nucleus.
cell_count_total,code,distribution,code/cell_count_total/extract.py,Counts the total number of segmented nuclei in the image. This is a direct proxy for cell proliferation or cytotoxicity (cell loss).
actin_texture_entropy_mean,code,texture,code/actin_texture_entropy_mean/extract.py,"Computes the mean entropy of the Actin texture within segmented cells. High entropy indicates a complex, disordered cytoskeletal network, while low entropy may suggest diffuse or uniform staining."
tubulin_moment_of_inertia_mean,code,spatial,code/tubulin_moment_of_inertia_mean/extract.py,Calculates the mean moment of inertia of the Tubulin intensity relative to the cell centroid. This measures how dispersed the microtubule network is from the cell center.
dapi_high_intensity_area_fraction_mean,code,intensity,code/dapi_high_intensity_area_fraction_mean/extract.py,"Calculates the fraction of the nuclear area that exceeds a high intensity threshold (e.g., >90th percentile of image). This quantifies the extent of bright, condensed chromatin regions."
cell_perimeter_area_ratio_mean,code,morphology,code/cell_perimeter_area_ratio_mean/extract.py,"Computes the mean ratio of perimeter squared to area for segmented cells (Actin). This is a measure of boundary complexity or compactness, sensitive to cell spreading and membrane ruffling."
tubulin_intensity_skewness,code,intensity,code/tubulin_intensity_skewness/extract.py,"Calculates the skewness of the pixel intensity distribution in the Tubulin (green) channel. A highly skewed distribution (long tail) can indicate the presence of bright, rigid microtubule bundles (taxane effect) versus a more diffuse signal"
dapi_tubulin_distance_mean,code,spatial,code/dapi_tubulin_distance_mean/extract.py,Measures the average distance between the centroid of the nucleus and the centroid of the tubulin intensity distribution within each cell. Large offsets can indicate cell polarization or asymmetric cytoskeletal organization.
dapi_peak_intensity_ratio,code,intensity,code/dapi_peak_intensity_ratio/extract.py,"Calculates the ratio of the maximum pixel intensity to the mean pixel intensity within the nucleus. A high ratio suggests the presence of bright nuclear foci (e.g., condensed chromatin or micronuclei)."
tubulin_radial_distribution_slope,code,spatial,code/tubulin_radial_distribution_slope/extract.py,"Calculates the gradient of Tubulin intensity radiating from the nuclear centroid to the cell periphery. This helps distinguish phenotypes where microtubules are clustered perinuclearly (e.g., collapsed) versus extended to the edge."
dapi_boundary_intensity_mean,code,intensity,code/dapi_boundary_intensity_mean/extract.py,"Measures the mean intensity of DAPI pixels at the boundary of the nucleus mask. Increased boundary intensity can indicate chromatin margination, a specific morphological feature of early apoptosis."
actin_texture_contrast_mean,code,texture,code/actin_texture_contrast_mean/extract.py,"Computes the Haralick Contrast feature for the Actin channel. This quantifies the local intensity variation, distinguishing between smooth, diffuse actin staining and textured, stress-fiber-rich cytoskeletons."
tubulin_polarity_index,code,spatial,code/tubulin_polarity_index/extract.py,"Measures the spatial distribution of tubulin intensity relative to the nucleus centroid. It calculates the vector sum of intensity-weighted positions in the Tubulin channel centered on the nucleus, quantifying the degree of polarization of "
actin_fiber_alignment,code,texture,code/actin_fiber_alignment/extract.py,"Analyzes the local orientation of actin filaments in the Actin channel using structure tensors or gradient histograms. A high score indicates strongly aligned stress fibers (common in static, adherent cells), while a low score indicates a d"
nuclear_circularity_median,code,morphology,code/nuclear_circularity_median/extract.py,"Calculates the median circularity (4*pi*area/perimeter^2) of nuclei. Deviations from circularity can indicate nuclear blebbing, fragmentation (apoptosis), or irregular shapes associated with nuclear envelope stress."
actin_cortical_enrichment,code,distribution,code/actin_cortical_enrichment/extract.py,Measures the ratio of Actin intensity at the cell boundary (cortex) versus the cell interior. Changes in cortical actin are relevant for cell motility and adhesion phenotypes.
nuclear_actin_exclusion,code,spatial,code/nuclear_actin_exclusion/extract.py,"Quantifies the average intensity of Actin signal within the nuclear region relative to the cytoplasmic region. In healthy cells, actin is largely excluded from the nucleus; an increase might indicate nuclear envelope rupture or segmentation"
dapi_intensity_integrated,code,intensity,code/dapi_intensity_integrated/extract.py,"Sums the total DAPI intensity across all nuclei. This is a proxy for total DNA content in the field of view, which correlates with cell number and ploidy levels."
vlm_actin_puncta_prominence,vlm,texture,vlm/vlm_actin_puncta_prominence/feature.json,"Visually scores how prominent high-intensity actin puncta appear within cells (e.g., focal adhesions or actin aggregates). Higher values indicate more conspicuous punctate actin structures against the surrounding cytoskeleton."
tubulin_texture_haralick_contrast,code,texture,code/tubulin_texture_haralick_contrast/extract.py,"Computes the Haralick contrast of the Tubulin channel. High contrast corresponds to distinct, sharp structures (like bundled microtubules), while low contrast indicates diffuse staining."
nucleus_cytoplasm_intensity_ratio_actin,code,intensity,code/nucleus_cytoplasm_intensity_ratio_actin/extract.py,"Calculates the ratio of mean Actin intensity inside the nucleus vs. the cytoplasm. While Actin is primarily cytoplasmic, changes in this ratio can indicate segmentation issues or specific nuclear actin involvement."
dapi_granularity_spectrum_mean,code,texture,code/dapi_granularity_spectrum_mean/extract.py,Computes the mean power spectrum intensity at high frequencies for the DAPI channel. This acts as a proxy for nuclear granularity/heterochromatin condensation without explicit texture feature selection.
cytoskeleton_radial_distribution_tubulin,code,spatial,code/cytoskeleton_radial_distribution_tubulin/extract.py,Measures the radial intensity profile of Tubulin from the nucleus center outwards. This quantifies whether microtubules are concentrated perinuclearly or extend to the cell periphery.
cell_orientation_coherence,code,spatial,code/cell_orientation_coherence/extract.py,"Calculates the coherence of the orientation of the major axes of all cells in the image. High coherence implies cells are aligned in a specific direction (e.g., flow or substrate pattern), low implies random orientation."
tubulin_branching_density,code,morphology,code/tubulin_branching_density/extract.py,Applies a skeletonization algorithm to the Tubulin channel and counts the number of branch points per unit area. This quantifies the complexity of the microtubule network.
nuclear_shape_circularity_mean,code,morphology,code/nuclear_shape_circularity_mean/extract.py,"Computes the mean circularity (4*pi*area/perimeter^2) of nuclei. This metric helps distinguish between healthy, round nuclei and irregular, blebbed, or fragmented nuclei often seen in apoptosis or drug-induced stress."
tubulin_intensity_mean_per_cell,code,intensity,code/tubulin_intensity_mean_per_cell/extract.py,"Computes the average intensity of the Tubulin (green) channel within the cell body. This quantifies the overall abundance of microtubules, which can be affected by stabilizing (Taxanes) or destabilizing (Vinca alkaloids) agents."
actin_cell_eccentricity_mean,code,morphology,code/actin_cell_eccentricity_mean/extract.py,"Measures the mean eccentricity of the cell boundary defined by Actin staining. This quantifies cell elongation, differentiating between flattened, mesenchymal-like morphologies and rounded, amoeboid or mitotic phenotypes."
nucleus_cytoplasm_area_ratio_mean,code,morphology,code/nucleus_cytoplasm_area_ratio_mean/extract.py,"Calculates the ratio of nuclear area to cytoplasmic area for each cell. The N/C ratio is a classic cytological feature that changes during differentiation, cancer progression, and response to treatment."
dapi_tubulin_pixel_correlation,code,spatial,code/dapi_tubulin_pixel_correlation/extract.py,"Computes the Pearson correlation coefficient between DAPI and Tubulin pixel intensities across the whole image (or per cell). This measures the spatial overlap of DNA and microtubules, which is relevant for detecting mitotic spindles."
actin_texture_gabor_energy_mean,code,texture,code/actin_texture_gabor_energy_mean/extract.py,Applies a bank of Gabor filters to the Actin (red) channel and calculates the mean energy. This captures the prevalence of linear structures like stress fibers at various orientations.
nuclear_boundary_solidity_mean,code,morphology,code/nuclear_boundary_solidity_mean/extract.py,"Calculates the solidity (Area / Convex Hull Area) of nuclei. Low solidity indicates irregular, lobulated, or blebbing nuclei (often signs of nuclear fragmentation or stress), while high solidity indicates smooth, elliptical shapes."
cell_dispersion_index,code,distribution,code/cell_dispersion_index/extract.py,"Calculates the nearest-neighbor distance statistics for cell centroids across the image. This quantifies spatial clustering or dispersion, reflecting cell density and potential contact inhibition or loss thereof."
tubulin_radial_intensity_gradient,code,spatial,code/tubulin_radial_intensity_gradient/extract.py,Measures the gradient of tubulin intensity radiating from the cell center (nucleus) to the periphery. This is designed to capture the 'monoastral' phenotype (Monastrol effect) where microtubules radiate from a single central point.
tubulin_intensity_mass_displacement,code,spatial,code/tubulin_intensity_mass_displacement/extract.py,"Calculates the distance between the geometric centroid of the cell and the intensity-weighted centroid of the Tubulin channel. Large displacements indicate asymmetric microtubule organization, relevant for polarization or defects in spindle"
actin_texture_gabor_energy,code,texture,code/actin_texture_gabor_energy/extract.py,"Computes the energy response of Gabor filters applied to the Actin channel. This quantifies the presence and strength of linear structures like stress fibers, distinguishing them from diffuse cortical actin."
cell_compactness_mean,code,morphology,code/cell_compactness_mean/extract.py,"Calculates the mean compactness (4π * Area / Perimeter^2) of cells. Values near 1 indicate perfect circles (mitotic rounding), while lower values indicate complex, irregular shapes (mesenchymal/spread morphology)."
nucleus_cell_centroid_distance,code,spatial,code/nucleus_cell_centroid_distance/extract.py,Measures the Euclidean distance between the centroid of the nucleus and the centroid of the whole cell. This quantifies cell polarity and symmetry; loss of polarity can indicate cytoskeletal disruption.
tubulin_radial_distribution_mean,code,spatial,code/tubulin_radial_distribution_mean/extract.py,"Measures the average distance of tubulin signal intensity from the nuclear centroid. This helps distinguish between perinuclear clustering (e.g., collapsed cytoskeleton) and peripheral distribution."
nucleus_intensity_entropy,code,texture,code/nucleus_intensity_entropy/extract.py,Measures the Shannon entropy of pixel intensities within segmented nuclei in the DAPI channel. This quantifies the texture complexity of chromatin; high entropy may indicate fragmented or condensed chromatin associated with DNA damage or ap
cell_circularity_mean,code,morphology,code/cell_circularity_mean/extract.py,"Computes the mean circularity of segmented cell bodies (using Actin/Tubulin boundaries). High circularity is a hallmark of mitotic arrest or cell detachment, distinct from the irregular shapes of adherent interphase cells."
tubulin_total_intensity_mean,code,intensity,code/tubulin_total_intensity_mean/extract.py,"Calculates the mean total intensity of the Tubulin channel per segmented cell. Changes in tubulin mass can indicate microtubule stabilization (e.g., Taxol) or depolymerization."
actin_fiber_alignment_coherence,code,texture,code/actin_fiber_alignment_coherence/extract.py,"Analyzes the local orientation of actin filaments to determine a coherence score. High coherence indicates parallel stress fibers, while low coherence suggests a disorganized meshwork, relevant for detecting cytoskeletal reorganization."
tubulin_texture_correlation,code,texture,code/tubulin_texture_correlation/extract.py,"Computes the Haralick correlation texture feature for the Tubulin channel. This measures the linear dependency of gray levels on neighboring pixels, capturing the structural regularity of the microtubule network (e.g., bundles vs. diffuse)."
cell_extent_mean,code,morphology,code/cell_extent_mean/extract.py,"Calculates the mean extent (ratio of object area to bounding box area) of segmented cells. This shape descriptor helps differentiate between spread-out, irregular cells (low extent) and compact, geometric shapes (high extent)."
actin_tubulin_overlap_pearson,code,spatial,code/actin_tubulin_overlap_pearson/extract.py,"Computes the Pearson correlation coefficient between pixel intensities of the Actin and Tubulin channels within cell masks. This measures the spatial colocalization of the two cytoskeletal networks, which may decouple under specific drug tr"
nucleus_boundary_roughness,code,morphology,code/nucleus_boundary_roughness/extract.py,Measures the roughness of the nuclear boundary (perimeter^2 / (4 * pi * area) normalized or similar fractal dimension proxy). Irregular boundaries can indicate nuclear envelope stress or early fragmentation.
tubulin_radial_profile_slope,code,spatial,code/tubulin_radial_profile_slope/extract.py,"Calculates the slope of the intensity profile of Tubulin radiating from the nucleus center to the cell periphery. A steep negative slope indicates perinuclear concentration (e.g., monoastral spindles), while a flat slope indicates diffuse d"
actin_intensity_skewness,code,intensity,code/actin_intensity_skewness/extract.py,"Measures the skewness of the pixel intensity distribution in the Actin channel. High skewness suggests the presence of sparse, bright structures (like stress fibers or foci) against a darker background."
tubulin_intensity_mean_cell,code,intensity,code/tubulin_intensity_mean_cell/extract.py,"Measures the mean intensity of the Tubulin (green) channel within the cell boundary. This quantifies the overall abundance of microtubules, which can be affected by stabilizers (e.g., Taxol) or destabilizers."
actin_area_mean,code,morphology,code/actin_area_mean/extract.py,"Calculates the mean area of the cell cytoplasm defined by the Actin channel. This captures cell spreading versus rounding, a key morphological response to cytoskeletal toxins or mitotic arrest."
tubulin_distribution_asymmetry,code,distribution,code/tubulin_distribution_asymmetry/extract.py,Measures the asymmetry of the Tubulin signal relative to the nuclear centroid. Polarized tubulin distribution is a feature of migrating cells or specific mitotic phases.
actin_edge_sharpness_mean,code,texture,code/actin_edge_sharpness_mean/extract.py,"Calculates the mean gradient magnitude at the boundary of the segmented cell in the Actin channel. Sharp edges may indicate tense, spread cells, while diffuse edges might suggest membrane blebbing or retraction."
nucleus_actin_correlation,code,spatial,code/nucleus_actin_correlation/extract.py,"Computes the Pearson correlation coefficient between pixel intensities of DAPI and Actin channels within the cell area. This measures the spatial overlap of the nucleus and cytoskeleton, which can change during mitosis or cell spreading."
tubulin_texture_contrast_mean,code,texture,code/tubulin_texture_contrast_mean/extract.py,"Computes the GLCM Contrast feature for the Tubulin channel within cell boundaries. High contrast suggests distinct, sharp microtubules (e.g., bundles), while low contrast suggests diffuse or depolymerized tubulin."
dapi_haralick_entropy_mean,code,texture,code/dapi_haralick_entropy_mean/extract.py,"Calculates the mean Haralick Entropy of the DAPI channel within nuclei. Entropy measures the randomness of the texture; high entropy suggests complex, non-uniform chromatin structure."
