bp_id,bp_en,bp_zh,sa_id,sa_local_id,sa_en,sa_zh,n_features,features
BP05,Cytoskeletal remodeling,细胞骨架重塑,BP05_SA1,SA1,Filaments / ridges,细丝/脊线,26,code_bundle_tau_orientation_radial_misalignment;code_bundle_tau_structure_tensor_anisotropy;code_cytoplasmic_tau_structure_tensor_radial_alignment;code_filament_curvature_tau_intensity_coupling;code_filament_radial_orientation_bias;code_filament_tau_beadiness_cv;code_filament_tau_loading_heterogeneity_index;code_filament_tau_longitudinal_autocorrelation_peak;code_filament_tau_transverse_decay_slope;code_tau_filamentous_vesselness_coupling;code_tau_radon_projection_anisotropy;code_tau_ridge_coherence_in_cytoplasm;code_tau_ridge_orientation_coherence_length;vlm_cell_margin_filament_exit_angle_bias_score;vlm_curved_filament_inner_outer_brightness_bias_score;vlm_filament_bend_brightness_coupling_score;vlm_filament_endpoint_fraying_score;vlm_filament_midshaft_intensity_pulsing_score;vlm_filament_orientation_coherence_score;vlm_filament_radial_spoke_alignment_score;vlm_filament_tip_brightness_taper_score;vlm_somatic_fibril_counterflow_domain_score;vlm_somatic_fibril_spiral_pitch_variability_score;vlm_somatic_fibril_swirl_directionality_score;vlm_somatic_fibril_vortex_center_offset_score;vlm_somatic_tau_lamellar_onion_skin_score
BP05,Cytoskeletal remodeling,细胞骨架重塑,BP05_SA2,SA2,Bundles / fascicles,粗束/束状结构,12,code_bundle_compact_inclusion_burden;code_bundle_tau_burden_fraction;code_bundle_tau_core_to_halo_contrast;code_bundle_tau_lateral_intensity_skewness;vlm_bundle_core_hollowing_score;vlm_bundle_cross_section_striation_anisotropy_score;vlm_bundle_internal_strand_resolvability_score;vlm_bundle_lateral_fibril_shedding_score;vlm_bundle_lumen_edge_asymmetry_score;vlm_bundle_striation_longitudinal_drift_score;vlm_bundle_striation_phase_locking_score;vlm_bundle_width_varicosity_score
BP05,Cytoskeletal remodeling,细胞骨架重塑,BP05_SA3,SA3,Bundle junctions,粗束连接,18,code_bundle_tau_boundary_arc_discontinuity;code_filament_bundle_orientation_coherence;code_filament_bundle_skeleton_length_density;vlm_bundle_axis_waviness_score;vlm_bundle_contour_raggedness_score;vlm_bundle_crossing_brightness_hierarchy_score;vlm_bundle_end_taper_bluntness_score;vlm_bundle_local_kink_concentration_score;vlm_bundle_terminal_fanout_score;vlm_filament_bundle_contact_angle_diversity_score;vlm_filament_bundle_disorganization_score;vlm_filament_bundle_entry_splay_score;vlm_filament_bundle_hierarchical_fasciculation_score;vlm_filament_bundle_merge_zone_fuzziness_score;vlm_filament_bundle_partition_score;vlm_filament_to_bundle_orientation_mismatch_score;vlm_filament_to_bundle_transition_score;vlm_round_to_fibrillar_transition_front_score
BP05,Cytoskeletal remodeling,细胞骨架重塑,BP05_SA4,SA4,Connected network,连通网络,11,code_cytoplasm_tau_laplacian_zero_crossing_density;code_filament_skeleton_tau_continuity;code_filament_skeleton_tortuosity;code_filament_tau_skeleton_gap_fraction;vlm_filament_cell_span_fraction_score;vlm_filament_crossing_complexity_score;vlm_filament_intersection_brightness_node_score;vlm_filament_length_scale_bimodality_score;vlm_filament_loop_area_polydispersity_score;vlm_filament_network_cycle_density_score;vlm_filament_short_gap_reconnection_score
BP06,Lesion maturation,病灶成熟,BP06_SA1,SA1,Puncta / granules / foci,点状/颗粒/焦点,13,code_compact_to_linear_aggregate_balance;code_high_tau_component_solidity_weighted_mean;code_high_tau_object_shape_intensity_correlation;code_intensity_weighted_aggregate_eccentricity;code_tau_aggregate_mass_partition_entropy;code_tau_component_shape_diversity_entropy;code_tau_positive_convexity_defect_ratio;vlm_aggregate_size_diversity_score;vlm_large_tau_inclusion_prominence_score;vlm_tau_aggregate_morphotype_complexity;vlm_tau_bright_mass_compaction_index;vlm_tau_object_class_local_entropy_score;vlm_tau_object_size_intensity_rank_discordance_score
BP06,Lesion maturation,病灶成熟,BP06_SA2,SA2,Composite objects,复合对象,7,code_high_tau_component_crowding_inverse_distance;code_high_tau_component_radial_size_sorting;code_tau_high_signal_object_texture_dispersion;code_tau_hotspot_mark_correlation_decay_length;code_tau_hotspot_voronoi_territory_inequality;vlm_somatic_multifocal_seed_burden_score;vlm_tau_hotspot_radial_dispersion_score
BP06,Lesion maturation,病灶成熟,BP06_SA3,SA3,Cytoplasm / soma,胞质/胞体,12,code_adaptive_tau_hotspot_area_fraction;code_aggregate_component_density_normalized;code_cytoplasmic_tau_threshold_largest_component_auc;code_dominant_aggregate_area_occupancy;code_high_tau_component_contour_curvature_skewness;code_segmented_aggregate_tau_fraction;code_tau_hotspot_interior_exterior_gradient_ratio;code_tau_levelset_centroid_drift_index;code_tau_superlevel_area_curve_roughness;code_tau_superlevel_component_burstiness;code_tau_superlevel_component_persistence_auc;vlm_somatic_inclusion_severity_visual
BP06,Lesion maturation,病灶成熟,BP06_SA4,SA4,Boundary / cortex,边界/皮层,8,code_high_tau_component_boundary_distance_skew;code_high_tau_component_boundary_rugosity;code_tau_high_intensity_object_edge_sharpness;vlm_somatic_inclusion_edge_crispness_score;vlm_tau_aggregate_depletion_halo_score;vlm_tau_object_boundary_feathering_directionality_score;vlm_tau_object_boundary_interdigitation_score;vlm_tau_object_edge_polarity_reversal_score
BP07,Interface remodeling,界面重塑,BP07_SA1,SA1,Local texture,局部纹理,2,vlm_diffuse_tau_contour_conformity_score;vlm_tau_domain_edge_softness_heterogeneity_score
BP07,Interface remodeling,界面重塑,BP07_SA2,SA2,Boundary / cortex,边界/皮层,5,code_cell_boundary_tau_penetration_depth;code_cell_edge_tau_halo_excess_ratio;code_cell_edge_tau_inward_gradient_skewness;code_tau_cell_edge_arc_run_entropy;vlm_cell_periphery_tau_rim_sharpness_score
BP07,Interface remodeling,界面重塑,BP07_SA3,SA3,Radial shell,径向壳层,8,code_boundary_band_tau_fourier_peak_fraction;code_cytoplasm_tau_entropy_radial_gradient;code_cytoplasmic_tau_gradient_magnitude_gini;code_cytoplasmic_tau_gradient_orientation_entropy;code_tau_boundary_distance_information_coupling;code_tau_boundary_distance_isotonic_fit_error;code_tau_boundary_distance_quantile_spline_curvature;vlm_tau_radial_shell_gradient_score
BP08,Proteostasis stress,蛋白稳态应激,BP08_SA1,SA1,Local texture,局部纹理,21,code_cytoplasm_tau_directional_variogram_anisotropy;code_cytoplasm_tau_gray_run_length_nonuniformity;code_cytoplasm_tau_log_gabor_orientation_dispersion;code_cytoplasmic_tau_bandpass_granularity_ratio;code_cytoplasmic_tau_coarse_to_fine_wavelet_ratio;code_cytoplasmic_tau_fine_energy_coarse_intensity_correlation;code_cytoplasmic_tau_glcm_homogeneity_anisotropy;code_cytoplasmic_tau_local_contrast_skewness;code_cytoplasmic_tau_local_dynamic_range;code_cytoplasmic_tau_moran_autocorrelation;code_cytoplasmic_tau_multiscale_mad_slope;code_cytoplasmic_tau_phase_congruency_density;code_cytoplasmic_tau_rank_variogram_slope;code_cytoplasmic_tau_rof_residual_fraction;code_tau_cell_glcm_correlation_decay_length;code_tau_granularity_small_to_large_scale_ratio;code_tau_midband_spectral_flatness;code_tau_multiscale_granularity_ratio;code_tau_rank_power_spectrum_slope;code_tau_wavelet_scale_energy_entropy;vlm_somatic_tau_texture_scale_mixing_score
BP08,Proteostasis stress,蛋白稳态应激,BP08_SA2,SA2,Composite objects,复合对象,10,code_cell_tau_boxcount_fractal_dimension;code_cytoplasmic_tau_multiscale_lacunarity;code_cytoplasmic_tau_percolation_threshold_span;code_pericellular_tau_contact_fraction;code_tau_lacunarity_cell_texture;code_tau_microterritory_mass_entropy;code_tau_superpixel_mosaic_transition_entropy;vlm_cytoplasmic_tau_mosaic_irregularity_score;vlm_somatic_tau_patch_domain_scale_score;vlm_tau_cytoplasmic_lacunarity_index
BP08,Proteostasis stress,蛋白稳态应激,BP08_SA3,SA3,Cytoplasm / soma,胞质/胞体,14,code_cell_tau_gini_heterogeneity;code_cell_tau_intensity_gini;code_cytoplasm_tau_peak_prominence_gini;code_cytoplasm_tau_tail_balance_ratio;code_cytoplasmic_tau_bimodality_coefficient;code_cytoplasmic_tau_extreme_value_tail_index;code_cytoplasmic_tau_intensity_gini;code_cytoplasmic_tau_smooth_haze_fraction;code_cytoplasmic_tau_upper_tail_contrast;code_high_tau_area_fraction_in_cell;code_robust_high_tau_area_fraction;vlm_intracellular_tau_heterogeneity_score;vlm_somatic_diffuse_tau_haze_score;vlm_tau_peak_to_haze_balance_score
BP09,Compartment fragmentation,区室碎裂,BP09_SA1,SA1,Connected network,连通网络,5,vlm_cytoplasmic_tau_channel_connectivity_score;vlm_cytoplasmic_tau_isthmus_connectivity_score;vlm_radial_tau_corridor_alignment_score;vlm_tau_free_cytoplasmic_corridor_continuity_score;vlm_tau_gap_skip_pattern_severity_score
BP09,Compartment fragmentation,区室碎裂,BP09_SA2,SA2,Mesh / honeycomb / voids,网状/蜂窝/空洞,17,code_cytoplasmic_tau_void_size_entropy;code_tau_dark_basin_depth_entropy;code_tau_honeycomb_wall_hole_contrast;code_tau_mesh_hole_area_fraction;code_tau_network_euler_characteristic_density;code_tau_superlevel_hole_lifetime_mean;vlm_cytosolic_tau_void_size_heterogeneity_score;vlm_nuclear_tau_gap_peninsula_ruggedness_score;vlm_nucleus_adjacent_tau_void_penetration_score;vlm_reticular_honeycomb_soma_score;vlm_reticular_honeycomb_tau_pattern_score;vlm_reticular_mesh_wall_thickness_cv_score;vlm_reticular_pore_coalescence_front_asymmetry_score;vlm_somatic_dark_pore_rim_enhancement_score;vlm_somatic_honeycomb_mesh_score;vlm_somatic_reticular_pore_radial_maturation_score;vlm_tau_void_partitioning_barrier_score
BP10,Mechanical stress,机械应力,BP10_SA1,SA1,Nuclear–cytoplasmic compartments,核–胞质区室,7,vlm_cell_nucleus_geometric_offset_ratio;vlm_nuclear_cell_axis_mirror_tau_asymmetry_score;vlm_nuclear_displacement_by_tau_inclusion_score;vlm_nuclear_displacement_by_tau_mass_score;vlm_nucleus_aggregate_axis_torque_score;vlm_nucleus_cell_axis_tau_projection_score;vlm_nucleus_cytoplasm_area_balance_score
BP10,Mechanical stress,机械应力,BP10_SA2,SA2,Boundary / cortex,边界/皮层,3,vlm_cell_boundary_tau_indent_pressure_score;vlm_cell_boundary_tau_retraction_mantle_score;vlm_cell_edge_tau_budding_protrusion_score
BP10,Mechanical stress,机械应力,BP10_SA3,SA3,Whole-cell geometry,整细胞几何,3,vlm_cell_mask_process_arborization_score;vlm_cellular_tau_failure_collapse_score;vlm_tau_positive_cell_area_utilization_score
BP11,Release and spreading,释放与传播,BP11_SA1,SA1,Extracellular region,细胞外区域,5,code_extracellular_tau_aggregate_burden_fraction;code_extracellular_tau_skeleton_complexity_index;vlm_extracellular_ghost_tangle_likelihood;vlm_extracellular_orphan_tau_deposit_score;vlm_extracellular_tau_remnant_score
